DetectionTime,SensorID,trackingID,objectType,Latitude,Longitude,Speed,Heading
20241126122521.41,0102030203,26,1,37.24002890,126.77368750,0,0
20241126122521.45,0102030203,26,1,37.24002990,126.77368830,11,38
20241126122521.48,0102030203,26,1,37.24003140,126.77368910,23,28
20241126122521.52,0102030203,26,1,37.24003200,126.77368980,9,49
20241126122521.55,0102030203,26,1,37.24003300,126.77369070,17,41
20241126122521.58,0102030203,26,1,37.24003420,126.77369120,16,22
20241126122521.61,0102030203,26,1,37.24003460,126.77369140,5,26
20241126122521.64,0102030203,26,1,37.24003540,126.77369160,9,14
20241126122521.67,0102030203,26,1,37.24003610,126.77369210,11,35
20241126122521.70,0102030203,26,1,37.24003820,126.77369270,28,15
20241126122521.73,0102030203,26,1,37.24003900,126.77369310,12,26
20241126122521.75,0102030203,26,1,37.24003850,126.77369310,7,180
20241126122521.79,0102030203,26,1,37.24003930,126.77369360,9,32
20241126122521.82,0102030203,26,1,37.24003990,126.77369440,12,53
20241126122521.88,0102030203,26,1,37.24004050,126.77369550,7,61
20241126122521.89,0102040204,3,1,37.24004250,126.77369410,0,0
20241126122521.92,0102030203,26,1,37.24004100,126.77369660,9,65
20241126122521.93,0102040204,3,1,37.24004400,126.77369490,17,28
20241126122521.95,0102030203,26,1,37.24004130,126.77369690,4,45
20241126122521.97,0102040204,3,1,37.24004550,126.77369570,15,28
20241126122521.99,0102030203,26,1,37.24004240,126.77369790,15,42
20241126122522.01,0102040204,3,1,37.24004620,126.77369610,8,29
20241126122522.01,0102030203,26,1,37.24004280,126.77369820,8,36
20241126122522.04,0102030203,26,1,37.24004280,126.77369810,0,270
20241126122522.05,0102040204,3,1,37.24004530,126.77369600,8,186
20241126122522.08,0102030203,26,1,37.24004360,126.77369850,11,26
20241126122522.09,0102040204,3,1,37.24004540,126.77369690,7,83
20241126122522.11,0102030203,26,1,37.24004360,126.77369860,1,90
20241126122522.13,0102040204,3,1,37.24004610,126.77369750,8,40
20241126122522.13,0102030203,26,1,37.24004440,126.77369910,13,32
20241126122522.16,0102030203,26,1,37.24004480,126.77369930,6,26
20241126122522.17,0102040204,3,1,37.24004550,126.77369780,6,153
20241126122522.19,0102030203,26,1,37.24004560,126.77369970,9,26
20241126122522.21,0102040204,3,1,37.24004580,126.77369810,3,45
20241126122522.22,0102030203,26,1,37.24004640,126.77370020,13,32
20241126122522.25,0102040204,3,1,37.24004680,126.77369890,12,38
20241126122522.26,0102030203,26,1,37.24004630,126.77370040,2,116
20241126122522.29,0102040204,3,1,37.24004840,126.77369970,17,26
20241126122522.29,0102030203,26,1,37.24004670,126.77370060,5,26
20241126122522.33,0102040204,3,1,37.24005000,126.77370040,16,23
20241126122522.34,0102030203,26,1,37.24004880,126.77370180,17,29
20241126122522.37,0102040204,3,1,37.24005040,126.77370060,4,26
20241126122522.39,0102030203,26,1,37.24004960,126.77370230,8,32
20241126122522.41,0102040204,3,1,37.24005080,126.77370080,4,26
20241126122522.42,0102030203,26,1,37.24005050,126.77370250,11,12
20241126122522.45,0102040204,3,1,37.24005150,126.77370140,8,40
20241126122522.46,0102030203,26,1,37.24005190,126.77370300,15,19
20241126122522.48,0102030203,26,1,37.24005150,126.77370270,7,216
20241126122522.49,0102040204,3,1,37.24005070,126.77370110,8,200
20241126122522.51,0102030203,26,1,37.24005140,126.77370290,2,116
20241126122522.53,0102040204,3,1,37.24005100,126.77370150,4,53
20241126122522.54,0102030203,26,1,37.24005230,126.77370320,12,18
20241126122522.57,0102040204,3,1,37.24005180,126.77370190,8,26
20241126122522.57,0102030203,26,1,37.24005350,126.77370400,18,33
20241126122522.60,0102030203,26,1,37.24005440,126.77370440,13,23
20241126122522.61,0102040204,3,1,37.24005340,126.77370260,17,23
20241126122522.63,0102030203,26,1,37.24005490,126.77370460,7,21
20241126122522.65,0102040204,3,1,37.24005430,126.77370300,9,23
20241126122522.66,0102030203,26,1,37.24005520,126.77370500,5,53
20241126122522.69,0102040204,3,1,37.24005510,126.77370350,8,32
20241126122522.69,0102030203,26,1,37.24005520,126.77370500,0,0
20241126122522.72,0102030203,26,1,37.24005520,126.77370500,0,0
20241126122522.73,0102040204,3,1,37.24005630,126.77370410,12,26
20241126122522.75,0102030203,26,1,37.24005520,126.77370520,2,90
20241126122522.77,0102040204,3,1,37.24005710,126.77370460,9,32
20241126122522.81,0102030203,26,1,37.24005510,126.77370540,1,116
20241126122522.82,0102040204,3,1,37.24005660,126.77370450,4,191
20241126122522.85,0102030203,26,1,37.24005450,126.77370550,5,170
20241126122522.85,0102040204,3,1,37.24005790,126.77370500,13,21
20241126122522.88,0102030203,26,1,37.24005450,126.77370550,0,0
20241126122522.90,0102040204,3,1,37.24005970,126.77370570,18,21
20241126122522.92,0102030203,26,1,37.24005450,126.77370550,0,0
20241126122522.93,0102040204,3,1,37.24006050,126.77370620,9,32
20241126122522.94,0102030203,26,1,37.24005540,126.77370600,16,29
20241126122522.97,0102040204,3,1,37.24005960,126.77370590,8,198
20241126122522.98,0102030203,26,1,37.24005500,126.77370580,4,206
20241126122523.01,0102030203,26,1,37.24005540,126.77370600,5,26
20241126122523.02,0102040204,3,1,37.24005910,126.77370580,4,191
20241126122523.04,0102030203,26,1,37.24005580,126.77370620,5,26
20241126122523.06,0102040204,3,1,37.24005990,126.77370630,9,32
20241126122523.07,0102030203,26,1,37.24005680,126.77370650,14,16
20241126122523.09,0102030203,26,1,37.24005630,126.77370640,7,191
20241126122523.10,0102040204,3,1,37.24005800,126.77370590,19,191
20241126122523.13,0102030203,26,1,37.24005630,126.77370640,0,0
20241126122523.14,0102040204,3,1,37.24005880,126.77370650,9,36
20241126122523.16,0102030203,26,1,37.24005620,126.77370660,2,116
20241126122523.18,0102040204,3,1,37.24005970,126.77370680,9,18
20241126122523.19,0102030203,26,1,37.24005610,126.77370680,2,116
20241126122523.22,0102040204,3,1,37.24006050,126.77370730,9,32
20241126122523.22,0102030203,26,1,37.24005610,126.77370700,2,90
20241126122523.26,0102040204,3,1,37.24006100,126.77370750,4,21
20241126122523.28,0102030203,26,1,37.24005610,126.77370700,0,0
20241126122523.30,0102040204,3,1,37.24006140,126.77370770,4,26
20241126122523.33,0102030203,26,1,37.24005700,126.77370740,8,23
20241126122523.34,0102040204,3,1,37.24006170,126.77370810,4,53
20241126122523.34,0102030203,26,1,37.24005750,126.77370750,11,11
20241126122523.38,0102040204,3,1,37.24005990,126.77370750,18,198
20241126122523.39,0102030203,26,1,37.24005840,126.77370790,8,23
20241126122523.41,0102030203,26,1,37.24005930,126.77370820,16,18
20241126122523.42,0102040204,3,1,37.24005890,126.77370740,10,185
20241126122523.44,0102030203,26,1,37.24005840,126.77370770,11,209
20241126122523.46,0102040204,3,1,37.24005930,126.77370770,4,36
20241126122523.48,0102030203,26,1,37.24005940,126.77370800,13,16
20241126122523.50,0102040204,3,1,37.24005970,126.77370790,4,26
20241126122523.51,0102030203,26,1,37.24006030,126.77370840,12,23
20241126122523.54,0102030203,26,1,37.24006120,126.77370890,12,29
20241126122523.54,0102040204,3,1,37.24006010,126.77370810,4,26
20241126122523.56,0102030203,26,1,37.24005990,126.77370820,19,208
20241126122523.58,0102040204,3,1,37.24006160,126.77370850,15,14
20241126122523.59,0102030203,26,1,37.24006080,126.77370860,13,23
20241126122523.62,0102040204,3,1,37.24006250,126.77370870,9,12
20241126122523.63,0102030203,26,1,37.24006110,126.77370910,5,59
20241126122523.65,0102030203,26,1,37.24006020,126.77370860,14,209
20241126122523.66,0102040204,3,1,37.24006400,126.77370910,15,14
20241126122523.69,0102030203,26,1,37.24006110,126.77370910,10,29
20241126122523.70,0102040204,3,1,37.24006400,126.77370890,1,270
20241126122523.74,0102040204,3,1,37.24006440,126.77370930,5,44
20241126122523.74,0102030203,26,1,37.24005930,126.77370830,14,203
20241126122523.78,0102040204,3,1,37.24006440,126.77370930,0,0
20241126122523.79,0102030203,26,1,37.24005890,126.77370790,4,224
20241126122523.82,0102030203,26,1,37.24005840,126.77370770,7,201
20241126122523.82,0102040204,3,1,37.24006440,126.77370930,0,0
20241126122523.85,0102030203,26,1,37.24005840,126.77370770,0,0
20241126122523.86,0102040204,3,1,37.24006390,126.77370930,4,180
20241126122523.89,0102030203,26,1,37.24005800,126.77370750,4,206
20241126122523.90,0102040204,3,1,37.24006380,126.77370940,1,134
20241126122523.92,0102030203,26,1,37.24005700,126.77370720,15,196
