DetectionTime,SensorID,trackingID,objectType,Latitude,Longitude,Speed,Heading
2024-11-21 15:.933,0102040204,2116,1,36.339228000000,124.776476300000,0,0
2024-11-21 15:.979,0102040204,2116,1,36.342036900000,124.777970300000,100,28
2024-11-21 15:.016,0102040204,2116,1,36.341408200000,124.777636300000,100,207
2024-11-21 15:.060,0102040204,2116,1,36.341093200000,124.777469700000,100,207
2024-11-21 15:.104,0102040204,2116,1,36.340904200000,124.777370300000,100,207
2024-11-21 15:.177,0102040204,2116,1,36.340774300000,124.777302200000,100,207
2024-11-21 15:.219,0102040204,2116,1,36.340678700000,124.777252100000,100,207
2024-11-21 15:.243,0102040204,2116,1,36.340607900000,124.777214900000,100,207
2024-11-21 15:.286,0102040204,2116,1,36.340546100000,124.777182900000,100,207
2024-11-21 15:.338,0102040204,2116,1,36.340493900000,124.777156100000,100,207
2024-11-21 15:.374,0102040204,2116,1,36.340451200000,124.777134200000,100,207
2024-11-21 15:.445,0102040204,2116,1,36.340416600000,124.777116500000,100,207
2024-11-21 15:.477,0102040204,2116,1,36.340389000000,124.777102200000,100,207
2024-11-21 15:.512,0102040204,2116,1,36.340364700000,124.777089800000,100,207
2024-11-21 15:.552,0102040204,2116,1,36.340344000000,124.777079400000,100,206
2024-11-21 15:.624,0102040204,2116,1,36.340325300000,124.777070000000,100,206
2024-11-21 15:.666,0102040204,2116,1,36.340309000000,124.777061800000,100,206
2024-11-21 15:.704,0102040204,2116,1,36.340294800000,124.777054700000,100,206
2024-11-21 15:.776,0102040204,2116,1,36.340278600000,124.777046700000,97,206
2024-11-21 15:.828,0102040204,2116,1,36.340263000000,124.777039100000,100,205
2024-11-21 15:.891,0102040204,2116,1,36.340249200000,124.777032400000,81,205
2024-11-21 15:.934,0102040204,2116,1,36.340237000000,124.777026500000,100,205
2024-11-21 15:.976,0102040204,2116,1,36.340226100000,124.777021100000,100,206
2024-11-21 15:.019,0102040204,2116,1,36.340214600000,124.777015500000,100,205
2024-11-21 15:.067,0102040204,2116,1,36.340202800000,124.777009600000,100,206
2024-11-21 15:.104,0102040204,2116,1,36.340191100000,124.777003800000,100,206
2024-11-21 15:.153,0102040204,2116,1,36.340180500000,124.776998600000,94,206
2024-11-21 15:.197,0102040204,2116,1,36.340170400000,124.776993700000,98,205
2024-11-21 15:.282,0102040204,2116,1,36.340159500000,124.776988200000,55,206
2024-11-21 15:.325,0102040204,2116,1,36.340148700000,124.776982800000,100,206
2024-11-21 15:.363,0102040204,2116,1,36.340138900000,124.776977900000,100,206
2024-11-21 15:.395,0102040204,2116,1,36.340129100000,124.776973000000,100,206
2024-11-21 15:.437,0102040204,2116,1,36.340119700000,124.776968300000,96,206
2024-11-21 15:.484,0102040204,2116,1,36.340111900000,124.776964300000,72,207
2024-11-21 15:.539,0102040204,2116,1,36.340103200000,124.776959900000,83,206
2024-11-21 15:.577,0102040204,2116,1,36.340094000000,124.776955300000,82,206
2024-11-21 15:.653,0102040204,2116,1,36.340085200000,124.776950900000,50,206
2024-11-21 15:.690,0102040204,2116,1,36.340075800000,124.776946100000,100,207
2024-11-21 15:.727,0102040204,2116,1,36.340066700000,124.776941400000,100,207
2024-11-21 15:.760,0102040204,2116,1,36.340058300000,124.776937100000,100,207
2024-11-21 15:.801,0102040204,2116,1,36.340050500000,124.776933100000,82,207
2024-11-21 15:.873,0102040204,2116,1,36.340042700000,124.776929000000,47,207
